Time(s)	V(m/s)	xb(m)	xt(m)
0.000	12.578	0.000	0.000
0.010	12.593	0.001	0.000
0.020	12.610	0.002	0.000
0.030	12.626	0.005	0.000
0.040	12.643	0.009	0.000
0.050	12.659	0.014	0.000
0.060	12.676	0.020	0.000
0.070	12.693	0.026	0.000
0.080	12.712	0.034	0.000
0.090	12.734	0.043	0.000
0.100	12.759	0.053	0.000
0.110	12.788	0.064	0.000
0.120	12.819	0.075	0.000
0.130	12.853	0.087	0.000
0.140	12.886	0.101	0.000
0.150	12.919	0.114	0.000
0.160	12.947	0.129	0.000
0.170	12.968	0.145	0.001
0.180	12.981	0.161	0.001
0.190	12.983	0.178	0.001
0.200	12.975	0.195	0.001
0.210	12.955	0.213	0.001
0.220	12.927	0.231	0.002
0.230	12.891	0.250	0.002
0.240	12.851	0.270	0.002
0.250	12.811	0.290	0.002
0.260	12.776	0.310	0.003
0.270	12.748	0.331	0.003
0.280	12.732	0.352	0.004
0.290	12.731	0.373	0.004
0.300	12.745	0.394	0.005
0.310	12.775	0.416	0.006
0.320	12.820	0.437	0.006
0.330	12.879	0.459	0.007
0.340	12.948	0.481	0.008
0.350	13.023	0.503	0.009
0.360	13.103	0.525	0.010
0.370	13.181	0.547	0.011
0.380	13.256	0.569	0.012
0.390	13.325	0.591	0.013
0.400	13.385	0.613	0.015
0.410	13.436	0.635	0.016
0.420	13.476	0.657	0.017
0.430	13.506	0.678	0.019
0.440	13.525	0.700	0.021
0.450	13.534	0.721	0.022
0.460	13.533	0.742	0.024
0.470	13.522	0.763	0.026
0.480	13.500	0.784	0.028
0.490	13.468	0.804	0.030
0.500	13.425	0.824	0.033
0.510	13.371	0.844	0.035
0.520	13.307	0.863	0.037
0.530	13.233	0.881	0.040
0.540	13.151	0.900	0.043
0.550	13.064	0.918	0.046
0.560	12.976	0.935	0.049
0.570	12.889	0.951	0.052
0.580	12.809	0.967	0.055
0.590	12.740	0.983	0.058
0.600	12.685	0.998	0.062
0.610	12.648	1.012	0.065
0.620	12.630	1.025	0.069
0.630	12.632	1.038	0.073
0.640	12.653	1.050	0.077
0.650	12.690	1.061	0.081
0.660	12.739	1.072	0.085
0.670	12.796	1.082	0.090
0.680	12.855	1.091	0.094
0.690	12.912	1.099	0.099
0.700	12.962	1.107	0.103
0.710	13.001	1.114	0.108
0.720	13.026	1.120	0.113
0.730	13.038	1.126	0.119
0.740	13.037	1.131	0.124
0.750	13.024	1.135	0.129
0.760	13.003	1.139	0.135
0.770	12.978	1.142	0.141
0.780	12.952	1.144	0.146
0.790	12.929	1.145	0.152
0.800	12.911	1.146	0.158
0.810	12.900	1.147	0.164
0.820	12.896	1.146	0.171
0.830	12.899	1.145	0.177
0.840	12.906	1.144	0.184
0.850	12.913	1.142	0.190
0.860	12.920	1.139	0.197
0.870	12.921	1.136	0.204
0.880	12.914	1.132	0.211
0.890	12.898	1.127	0.218
0.900	12.871	1.122	0.225
0.910	12.836	1.117	0.232
0.920	12.793	1.111	0.240
0.930	12.745	1.104	0.247
0.940	12.697	1.097	0.255
0.950	12.651	1.090	0.263
0.960	12.611	1.082	0.270
0.970	12.580	1.074	0.278
0.980	12.560	1.065	0.286
0.990	12.551	1.056	0.294
1.000	12.554	1.047	0.302
1.010	12.566	1.037	0.310
1.020	12.584	1.027	0.318
1.030	12.606	1.016	0.326
1.040	12.628	1.005	0.335
1.050	12.648	0.994	0.343
1.060	12.664	0.983	0.351
1.070	12.674	0.972	0.360
1.080	12.679	0.960	0.368
1.090	12.680	0.948	0.377
1.100	12.679	0.936	0.385
1.110	12.679	0.924	0.394
1.120	12.684	0.912	0.402
1.130	12.696	0.900	0.411
1.140	12.718	0.887	0.420
1.150	12.750	0.875	0.428
1.160	12.793	0.863	0.437
1.170	12.844	0.851	0.446
1.180	12.902	0.839	0.454
1.190	12.961	0.827	0.463
1.200	13.018	0.815	0.471
1.210	13.067	0.803	0.480
1.220	13.105	0.791	0.489
1.230	13.128	0.780	0.497
1.240	13.132	0.769	0.506
1.250	13.118	0.758	0.514
1.260	13.086	0.747	0.523
1.270	13.038	0.737	0.531
1.280	12.978	0.726	0.539
1.290	12.910	0.716	0.548
1.300	12.840	0.707	0.556
1.310	12.771	0.697	0.564
1.320	12.708	0.688	0.573
1.330	12.654	0.679	0.581
1.340	12.610	0.670	0.589
1.350	12.578	0.662	0.597
1.360	12.556	0.654	0.605
1.370	12.542	0.646	0.612
1.380	12.533	0.639	0.620
1.390	12.526	0.632	0.628
1.400	12.516	0.625	0.636
1.410	12.501	0.618	0.643
1.420	12.479	0.612	0.650
1.430	12.449	0.606	0.658
1.440	12.410	0.600	0.665
1.450	12.364	0.595	0.672
1.460	12.313	0.590	0.679
1.470	12.259	0.585	0.686
1.480	12.205	0.581	0.693
1.490	12.154	0.577	0.700
1.500	12.108	0.573	0.706
1.510	12.070	0.569	0.713
1.520	12.040	0.566	0.719
1.530	12.018	0.563	0.725
1.540	12.002	0.561	0.731
1.550	11.993	0.559	0.737
1.560	11.987	0.557	0.743
1.570	11.982	0.555	0.749
1.580	11.976	0.554	0.755
1.590	11.967	0.553	0.760
1.600	11.956	0.552	0.766
1.610	11.941	0.552	0.771
1.620	11.922	0.552	0.776
1.630	11.902	0.552	0.781
1.640	11.881	0.552	0.786
1.650	11.862	0.553	0.790
1.660	11.846	0.554	0.795
1.670	11.835	0.555	0.799
1.680	11.831	0.557	0.804
1.690	11.832	0.559	0.808
1.700	11.840	0.561	0.812
1.710	11.854	0.563	0.816
1.720	11.872	0.566	0.819
1.730	11.893	0.569	0.823
1.740	11.916	0.572	0.826
1.750	11.938	0.576	0.829
1.760	11.959	0.580	0.833
1.770	11.978	0.584	0.835
1.780	11.994	0.588	0.838
1.790	12.007	0.592	0.841
1.800	12.018	0.597	0.843
1.810	12.027	0.602	0.846
1.820	12.035	0.607	0.848
1.830	12.042	0.612	0.850
1.840	12.050	0.618	0.852
1.850	12.057	0.623	0.854
1.860	12.064	0.629	0.855
1.870	12.070	0.636	0.857
1.880	12.074	0.642	0.858
1.890	12.075	0.648	0.859
1.900	12.073	0.655	0.860
1.910	12.066	0.662	0.861
1.920	12.054	0.668	0.862
1.930	12.037	0.675	0.863
1.940	12.016	0.682	0.863
1.950	11.991	0.690	0.863
1.960	11.963	0.697	0.864
1.970	11.935	0.704	0.864
1.980	11.907	0.711	0.864
1.990	11.882	0.719	0.863
2.000	11.860	0.726	0.863
2.010	11.842	0.734	0.863
2.020	11.827	0.741	0.862
2.030	11.817	0.748	0.861
2.040	11.809	0.756	0.860
2.050	11.803	0.763	0.859
2.060	11.797	0.770	0.858
2.070	11.789	0.778	0.857
2.080	11.778	0.785	0.855
2.090	11.763	0.792	0.854
2.100	11.744	0.799	0.852
2.110	11.719	0.806	0.851
2.120	11.691	0.812	0.849
2.130	11.660	0.819	0.847
2.140	11.627	0.826	0.845
2.150	11.594	0.832	0.842
2.160	11.562	0.838	0.840
2.170	11.534	0.844	0.837
2.180	11.509	0.850	0.835
2.190	11.490	0.856	0.832
2.200	11.475	0.861	0.829
2.210	11.466	0.867	0.827
2.220	11.461	0.872	0.824
2.230	11.460	0.877	0.820
2.240	11.461	0.881	0.817
2.250	11.463	0.886	0.814
2.260	11.467	0.890	0.811
2.270	11.470	0.894	0.807
2.280	11.472	0.898	0.804
2.290	11.473	0.902	0.800
2.300	11.473	0.905	0.796
2.310	11.472	0.908	0.792
2.320	11.469	0.911	0.788
2.330	11.466	0.914	0.784
2.340	11.461	0.916	0.780
2.350	11.456	0.919	0.776
2.360	11.448	0.921	0.772
2.370	11.439	0.922	0.767
2.380	11.427	0.924	0.763
2.390	11.414	0.925	0.758
2.400	11.398	0.926	0.754
2.410	11.381	0.927	0.749
2.420	11.363	0.928	0.744
2.430	11.346	0.928	0.740
2.440	11.332	0.928	0.735
2.450	11.324	0.928	0.730
2.460	11.322	0.928	0.725
2.470	11.329	0.927	0.720
2.480	11.348	0.927	0.715
2.490	11.378	0.926	0.709
2.500	11.420	0.925	0.704
2.510	11.474	0.923	0.699
2.520	11.537	0.922	0.693
2.530	11.607	0.921	0.688
2.540	11.681	0.919	0.682
2.550	11.754	0.917	0.677
2.560	11.822	0.915	0.671
2.570	11.882	0.913	0.666
2.580	11.930	0.911	0.660
2.590	11.964	0.909	0.654
2.600	11.982	0.907	0.648
2.610	11.985	0.904	0.642
2.620	11.973	0.902	0.636
2.630	11.948	0.900	0.630
2.640	11.914	0.897	0.624
2.650	11.875	0.895	0.618
2.660	11.835	0.892	0.612
2.670	11.796	0.890	0.606
2.680	11.764	0.887	0.600
2.690	11.739	0.884	0.594
2.700	11.724	0.882	0.588
2.710	11.719	0.879	0.581
2.720	11.722	0.876	0.575
2.730	11.734	0.873	0.569
2.740	11.750	0.870	0.562
2.750	11.768	0.867	0.556
2.760	11.786	0.864	0.549
2.770	11.801	0.861	0.543
2.780	11.812	0.858	0.536
2.790	11.816	0.855	0.530
2.800	11.815	0.852	0.523
2.810	11.807	0.849	0.517
2.820	11.795	0.846	0.510
2.830	11.781	0.843	0.504
2.840	11.765	0.840	0.497
2.850	11.752	0.837	0.490
2.860	11.741	0.833	0.484
2.870	11.736	0.830	0.477
2.880	11.736	0.827	0.471
2.890	11.744	0.824	0.464
2.900	11.758	0.821	0.457
2.910	11.778	0.818	0.450
2.920	11.802	0.815	0.444
2.930	11.831	0.812	0.437
2.940	11.863	0.809	0.430
2.950	11.895	0.807	0.424
2.960	11.928	0.804	0.417
2.970	11.961	0.801	0.410
2.980	11.993	0.798	0.404
2.990	12.024	0.796	0.397
3.000	12.053	0.793	0.390
3.010	12.080	0.791	0.383
3.020	12.106	0.789	0.377
3.030	12.130	0.786	0.370
3.040	12.150	0.784	0.364
3.050	12.167	0.782	0.357
3.060	12.179	0.780	0.350
3.070	12.185	0.779	0.344
3.080	12.185	0.777	0.337
3.090	12.178	0.775	0.330
3.100	12.164	0.774	0.324
3.110	12.144	0.772	0.317
3.120	12.118	0.771	0.311
3.130	12.088	0.770	0.304
3.140	12.056	0.769	0.298
3.150	12.025	0.768	0.292
3.160	11.996	0.767	0.285
3.170	11.973	0.766	0.279
3.180	11.958	0.765	0.272
3.190	11.950	0.764	0.266
3.200	11.952	0.763	0.260
3.210	11.963	0.762	0.254
3.220	11.982	0.762	0.248
3.230	12.006	0.761	0.241
3.240	12.034	0.760	0.235
3.250	12.062	0.760	0.229
3.260	12.087	0.759	0.223
3.270	12.107	0.759	0.217
3.280	12.119	0.758	0.212
3.290	12.121	0.758	0.206
3.300	12.113	0.758	0.200
3.310	12.096	0.757	0.194
3.320	12.070	0.757	0.189
3.330	12.037	0.757	0.183
3.340	12.001	0.756	0.177
3.350	11.964	0.756	0.172
3.360	11.929	0.756	0.166
3.370	11.899	0.755	0.161
3.380	11.876	0.755	0.156
3.390	11.863	0.755	0.151
3.400	11.860	0.755	0.145
3.410	11.867	0.754	0.140
3.420	11.882	0.754	0.135
3.430	11.905	0.754	0.130
3.440	11.933	0.753	0.125
3.450	11.964	0.753	0.121
3.460	11.994	0.753	0.116
3.470	12.022	0.752	0.111
3.480	12.045	0.752	0.107
3.490	12.061	0.752	0.102
3.500	12.068	0.751	0.098
3.510	12.067	0.751	0.093
3.520	12.057	0.750	0.089
3.530	12.039	0.750	0.085
3.540	12.013	0.749	0.081
3.550	11.982	0.749	0.077
3.560	11.947	0.748	0.073
3.570	11.909	0.747	0.069
3.580	11.872	0.747	0.065
3.590	11.837	0.746	0.062
3.600	11.806	0.745	0.058
3.610	11.781	0.745	0.055
3.620	11.763	0.744	0.052
3.630	11.755	0.743	0.048
3.640	11.756	0.742	0.045
3.650	11.767	0.741	0.042
3.660	11.789	0.739	0.039
3.670	11.820	0.738	0.036
3.680	11.861	0.737	0.033
3.690	11.909	0.736	0.031
3.700	11.962	0.734	0.028
3.710	12.019	0.733	0.026
3.720	12.077	0.732	0.023
3.730	12.133	0.730	0.021
3.740	12.184	0.729	0.019
3.750	12.229	0.727	0.017
3.760	12.265	0.726	0.015
3.770	12.292	0.724	0.013
3.780	12.307	0.723	0.011
3.790	12.312	0.722	0.009
3.800	12.306	0.720	0.008
3.810	12.290	0.719	0.006
3.820	12.267	0.718	0.005
3.830	12.237	0.716	0.004
3.840	12.203	0.715	0.002
3.850	12.167	0.714	0.001
3.860	12.130	0.713	0.000
3.870	12.093	0.711	-0.000
3.880	12.058	0.710	-0.001
3.890	12.025	0.709	-0.002
3.900	11.994	0.708	-0.002
3.910	11.966	0.706	-0.003
3.920	11.940	0.705	-0.003
3.930	11.916	0.703	-0.003
3.940	11.894	0.702	-0.003
3.950	11.873	0.700	-0.004
3.960	11.855	0.699	-0.003
3.970	11.840	0.697	-0.003
3.980	11.828	0.696	-0.003
3.990	11.820	0.694	-0.003
4.000	11.816	0.692	-0.002
4.010	11.818	0.690	-0.002
4.020	11.825	0.688	-0.001
4.030	11.837	0.687	-0.000
4.040	11.854	0.685	0.001
4.050	11.874	0.683	0.002
4.060	11.896	0.681	0.003
4.070	11.918	0.679	0.004
4.080	11.937	0.677	0.005
4.090	11.952	0.675	0.007
4.100	11.959	0.673	0.008
4.110	11.959	0.671	0.010
4.120	11.950	0.669	0.011
4.130	11.932	0.666	0.013
4.140	11.904	0.664	0.015
4.150	11.869	0.662	0.017
4.160	11.828	0.660	0.019
4.170	11.783	0.658	0.021
4.180	11.736	0.656	0.023
4.190	11.690	0.654	0.025
4.200	11.647	0.652	0.028
4.210	11.609	0.650	0.030
4.220	11.577	0.648	0.033
4.230	11.552	0.645	0.036
4.240	11.533	0.643	0.038
4.250	11.521	0.641	0.041
4.260	11.516	0.638	0.044
4.270	11.515	0.636	0.047
4.280	11.518	0.634	0.050
4.290	11.524	0.631	0.053
4.300	11.532	0.629	0.056
4.310	11.541	0.626	0.060
4.320	11.550	0.624	0.063
4.330	11.560	0.621	0.066
4.340	11.568	0.619	0.070
4.350	11.576	0.616	0.073
4.360	11.583	0.614	0.077
4.370	11.587	0.611	0.081
4.380	11.588	0.609	0.084
4.390	11.585	0.607	0.088
4.400	11.577	0.604	0.092
4.410	11.561	0.602	0.096
4.420	11.538	0.599	0.100
4.430	11.506	0.597	0.104
4.440	11.465	0.595	0.108
4.450	11.415	0.593	0.112
4.460	11.358	0.590	0.117
4.470	11.295	0.588	0.121
4.480	11.228	0.586	0.125
4.490	11.161	0.584	0.130
4.500	11.098	0.581	0.134
4.510	11.043	0.579	0.139
4.520	10.998	0.577	0.143
4.530	10.968	0.574	0.148
4.540	10.953	0.572	0.152
4.550	10.957	0.570	0.157
4.560	10.978	0.568	0.162
4.570	11.015	0.565	0.166
4.580	11.067	0.563	0.171
4.590	11.130	0.561	0.176
4.600	11.199	0.558	0.181
4.610	11.271	0.556	0.186
4.620	11.340	0.554	0.191
4.630	11.403	0.552	0.195
4.640	11.454	0.550	0.200
4.650	11.493	0.548	0.205
4.660	11.516	0.546	0.210
4.670	11.523	0.545	0.215
4.680	11.515	0.543	0.220
4.690	11.493	0.542	0.225
4.700	11.460	0.540	0.230
4.710	11.419	0.539	0.236
4.720	11.373	0.538	0.241
4.730	11.326	0.537	0.246
4.740	11.282	0.536	0.251
4.750	11.243	0.535	0.256
4.760	11.212	0.534	0.261
4.770	11.192	0.534	0.266
4.780	11.182	0.533	0.271
4.790	11.184	0.532	0.276
4.800	11.196	0.532	0.282
4.810	11.218	0.532	0.287
4.820	11.248	0.531	0.292
4.830	11.283	0.531	0.297
4.840	11.321	0.531	0.302
4.850	11.359	0.531	0.307
4.860	11.395	0.531	0.312
4.870	11.426	0.532	0.317
4.880	11.451	0.532	0.322
4.890	11.467	0.532	0.327
4.900	11.473	0.533	0.332
4.910	11.470	0.534	0.337
4.920	11.458	0.535	0.342
4.930	11.436	0.536	0.347
4.940	11.408	0.537	0.352
4.950	11.375	0.538	0.357
4.960	11.340	0.539	0.362
4.970	11.306	0.540	0.367
4.980	11.276	0.542	0.372
4.990	11.253	0.543	0.377
5.000	11.238	0.545	0.382
5.010	11.234	0.546	0.387
5.020	11.242	0.548	0.391
5.030	11.262	0.550	0.396
5.040	11.292	0.552	0.401
5.050	11.332	0.554	0.406
5.060	11.379	0.556	0.410
5.070	11.429	0.558	0.415
5.080	11.479	0.560	0.419
5.090	11.527	0.562	0.424
5.100	11.569	0.564	0.428
5.110	11.603	0.567	0.433
5.120	11.627	0.569	0.437
5.130	11.641	0.572	0.442
5.140	11.645	0.574	0.446
5.150	11.640	0.577	0.450
5.160	11.629	0.580	0.455
5.170	11.614	0.583	0.459
5.180	11.597	0.586	0.463
5.190	11.581	0.589	0.467
5.200	11.568	0.592	0.471
5.210	11.559	0.595	0.475
5.220	11.556	0.598	0.479
5.230	11.556	0.602	0.483
5.240	11.560	0.605	0.487
5.250	11.566	0.608	0.491
5.260	11.572	0.612	0.495
5.270	11.575	0.615	0.499
5.280	11.573	0.619	0.502
5.290	11.565	0.622	0.506
5.300	11.550	0.626	0.510
5.310	11.529	0.630	0.513
5.320	11.502	0.633	0.517
5.330	11.471	0.637	0.520
5.340	11.439	0.640	0.524
5.350	11.408	0.644	0.527
5.360	11.382	0.648	0.530
5.370	11.363	0.651	0.533
5.380	11.352	0.655	0.537
5.390	11.352	0.658	0.540
5.400	11.362	0.662	0.543
5.410	11.382	0.665	0.546
5.420	11.409	0.669	0.549
5.430	11.441	0.672	0.552
5.440	11.475	0.675	0.555
5.450	11.507	0.679	0.557
5.460	11.536	0.682	0.560
5.470	11.557	0.685	0.563
5.480	11.570	0.688	0.566
5.490	11.574	0.691	0.568
5.500	11.569	0.694	0.571
5.510	11.558	0.697	0.573
5.520	11.541	0.700	0.576
5.530	11.522	0.703	0.578
5.540	11.503	0.706	0.580
5.550	11.489	0.708	0.582
5.560	11.480	0.711	0.585
5.570	11.479	0.714	0.587
5.580	11.487	0.716	0.589
5.590	11.504	0.718	0.591
5.600	11.529	0.721	0.593
5.610	11.559	0.723	0.594
5.620	11.593	0.725	0.596
5.630	11.628	0.728	0.598
5.640	11.662	0.730	0.600
5.650	11.691	0.732	0.601
5.660	11.713	0.734	0.603
5.670	11.729	0.736	0.604
5.680	11.736	0.738	0.606
5.690	11.735	0.740	0.607
5.700	11.727	0.742	0.609
5.710	11.714	0.743	0.610
5.720	11.697	0.745	0.611
5.730	11.679	0.747	0.612
5.740	11.662	0.748	0.613
5.750	11.649	0.750	0.614
5.760	11.640	0.752	0.615
5.770	11.637	0.753	0.616
5.780	11.641	0.755	0.617
5.790	11.652	0.756	0.618
5.800	11.671	0.757	0.618
5.810	11.697	0.759	0.619
5.820	11.730	0.760	0.620
5.830	11.768	0.761	0.620
5.840	11.811	0.762	0.620
5.850	11.856	0.763	0.621
5.860	11.903	0.764	0.621
5.870	11.950	0.766	0.621
5.880	11.996	0.767	0.622
5.890	12.037	0.768	0.622
5.900	12.074	0.769	0.622
5.910	12.103	0.770	0.622
5.920	12.125	0.771	0.622
5.930	12.137	0.772	0.622
5.940	12.140	0.773	0.622
5.950	12.134	0.774	0.621
5.960	12.119	0.775	0.621
5.970	12.097	0.777	0.621
5.980	12.071	0.778	0.620
5.990	12.042	0.779	0.620
6.000	12.015	0.780	0.619
6.010	11.990	0.781	0.619
6.020	11.972	0.783	0.618
6.030	11.963	0.784	0.617
6.040	11.962	0.785	0.617
6.050	11.972	0.786	0.616
6.060	11.990	0.787	0.615
6.070	12.016	0.788	0.614
6.080	12.046	0.789	0.613
6.090	12.077	0.790	0.612
6.100	12.106	0.791	0.611
6.110	12.128	0.792	0.610
6.120	12.142	0.793	0.609
6.130	12.143	0.794	0.607
6.140	12.133	0.796	0.606
6.150	12.109	0.797	0.605
6.160	12.076	0.798	0.603
6.170	12.034	0.799	0.602
6.180	11.988	0.800	0.600
6.190	11.943	0.801	0.599
6.200	11.903	0.802	0.597
6.210	11.871	0.802	0.595
6.220	11.852	0.803	0.594
6.230	11.847	0.804	0.592
6.240	11.856	0.805	0.590
6.250	11.879	0.806	0.588
6.260	11.911	0.806	0.586
6.270	11.950	0.807	0.584
6.280	11.988	0.807	0.582
6.290	12.022	0.808	0.580
6.300	12.044	0.809	0.578
6.310	12.051	0.809	0.576
6.320	12.039	0.810	0.574
6.330	12.005	0.810	0.572
6.340	11.951	0.810	0.569
6.350	11.877	0.811	0.567
6.360	11.788	0.811	0.565
6.370	11.688	0.811	0.562
6.380	11.585	0.811	0.560
6.390	11.484	0.812	0.558
6.400	11.391	0.811	0.555
6.410	11.312	0.811	0.553
6.420	11.251	0.811	0.550
6.430	11.208	0.811	0.547
6.440	11.186	0.810	0.545
6.450	11.182	0.809	0.542
6.460	11.193	0.808	0.539
6.470	11.214	0.807	0.537
6.480	11.239	0.806	0.534
6.490	11.264	0.805	0.531
6.500	11.283	0.804	0.528
6.510	11.291	0.802	0.525
6.520	11.286	0.801	0.523
6.530	11.265	0.799	0.520
6.540	11.229	0.797	0.517
6.550	11.180	0.795	0.514
6.560	11.120	0.793	0.511
6.570	11.053	0.791	0.508
6.580	10.984	0.789	0.505
6.590	10.916	0.786	0.502
6.600	10.856	0.784	0.499
6.610	10.804	0.781	0.495
6.620	10.765	0.778	0.492
6.630	10.739	0.775	0.489
6.640	10.727	0.772	0.486
6.650	10.727	0.769	0.483
6.660	10.736	0.766	0.479
6.670	10.754	0.762	0.476
6.680	10.776	0.759	0.473
6.690	10.799	0.755	0.470
6.700	10.821	0.751	0.466
6.710	10.841	0.747	0.463
6.720	10.855	0.744	0.460
6.730	10.864	0.740	0.456
6.740	10.867	0.736	0.453
6.750	10.864	0.732	0.449
6.760	10.858	0.728	0.446
6.770	10.848	0.723	0.442
6.780	10.836	0.719	0.439
6.790	10.824	0.715	0.435
6.800	10.813	0.711	0.432
6.810	10.803	0.707	0.428
6.820	10.796	0.702	0.425
6.830	10.790	0.698	0.421
6.840	10.787	0.694	0.418
6.850	10.787	0.690	0.414
6.860	10.788	0.686	0.411
6.870	10.791	0.681	0.407
6.880	10.796	0.677	0.403
6.890	10.802	0.673	0.400
6.900	10.809	0.669	0.396
6.910	10.817	0.665	0.392
6.920	10.827	0.661	0.389
6.930	10.837	0.657	0.385
6.940	10.847	0.653	0.381
6.950	10.857	0.649	0.378
6.960	10.867	0.645	0.374
6.970	10.875	0.642	0.370
6.980	10.879	0.638	0.366
6.990	10.880	0.634	0.363
7.000	10.876	0.631	0.359
7.010	10.866	0.628	0.355
7.020	10.849	0.624	0.351
7.030	10.826	0.621	0.347
7.040	10.796	0.618	0.344
7.050	10.761	0.615	0.340
7.060	10.721	0.612	0.336
7.070	10.679	0.609	0.332
7.080	10.637	0.606	0.328
7.090	10.596	0.603	0.325
7.100	10.561	0.601	0.321
7.110	10.532	0.598	0.317
7.120	10.513	0.596	0.313
7.130	10.505	0.593	0.309
7.140	10.508	0.591	0.305
7.150	10.522	0.588	0.302
7.160	10.548	0.586	0.298
7.170	10.582	0.584	0.294
7.180	10.624	0.582	0.290
7.190	10.668	0.580	0.286
7.200	10.713	0.578	0.283
7.210	10.755	0.576	0.279
7.220	10.790	0.574	0.275
7.230	10.816	0.573	0.271
7.240	10.830	0.571	0.267
7.250	10.830	0.569	0.264
7.260	10.818	0.568	0.260
7.270	10.793	0.567	0.256
7.280	10.758	0.566	0.252
7.290	10.715	0.565	0.249
7.300	10.668	0.564	0.245
7.310	10.621	0.563	0.241
7.320	10.577	0.562	0.238
7.330	10.540	0.561	0.234
7.340	10.513	0.561	0.230
7.350	10.497	0.560	0.227
7.360	10.494	0.560	0.223
7.370	10.502	0.559	0.219
7.380	10.520	0.559	0.216
7.390	10.545	0.558	0.212
7.400	10.574	0.558	0.209
7.410	10.603	0.558	0.205
7.420	10.629	0.558	0.202
7.430	10.647	0.557	0.198
7.440	10.657	0.557	0.195
7.450	10.655	0.557	0.192
7.460	10.643	0.557	0.188
7.470	10.622	0.557	0.185
7.480	10.595	0.557	0.181
7.490	10.564	0.557	0.178
7.500	10.534	0.558	0.175
7.510	10.509	0.558	0.172
7.520	10.493	0.558	0.169
7.530	10.489	0.558	0.165
7.540	10.499	0.558	0.162
7.550	10.524	0.559	0.159
7.560	10.561	0.559	0.156
7.570	10.608	0.559	0.153
7.580	10.662	0.560	0.150
7.590	10.718	0.560	0.147
7.600	10.769	0.561	0.144
7.610	10.813	0.561	0.142
7.620	10.843	0.562	0.139
7.630	10.857	0.562	0.136
7.640	10.855	0.563	0.133
7.650	10.835	0.563	0.131
7.660	10.802	0.564	0.128
7.670	10.757	0.565	0.125
7.680	10.708	0.565	0.123
7.690	10.659	0.566	0.120
7.700	10.617	0.567	0.118
7.710	10.586	0.567	0.116
7.720	10.572	0.568	0.113
7.730	10.577	0.569	0.111
7.740	10.601	0.569	0.109
7.750	10.644	0.570	0.106
7.760	10.703	0.571	0.104
7.770	10.772	0.571	0.102
7.780	10.847	0.572	0.100
7.790	10.921	0.572	0.098
7.800	10.988	0.573	0.096
7.810	11.043	0.574	0.095
7.820	11.081	0.574	0.093
7.830	11.101	0.575	0.091
7.840	11.101	0.576	0.089
7.850	11.082	0.577	0.088
7.860	11.048	0.577	0.086
7.870	11.002	0.578	0.085
7.880	10.949	0.579	0.083
7.890	10.892	0.580	0.082
7.900	10.838	0.581	0.081
7.910	10.789	0.581	0.079
7.920	10.747	0.582	0.078
7.930	10.715	0.583	0.077
7.940	10.691	0.583	0.076
7.950	10.674	0.584	0.075
7.960	10.664	0.584	0.074
7.970	10.656	0.585	0.073
7.980	10.650	0.585	0.072
7.990	10.644	0.586	0.072
8.000	10.636	0.586	0.071
8.010	10.627	0.586	0.070
8.020	10.618	0.586	0.070
8.030	10.611	0.586	0.069
8.040	10.609	0.586	0.069
8.050	10.614	0.586	0.069
8.060	10.628	0.586	0.068
8.070	10.655	0.586	0.068
8.080	10.694	0.585	0.068
8.090	10.745	0.585	0.068
8.100	10.807	0.585	0.068
8.110	10.876	0.584	0.068
8.120	10.947	0.584	0.068
8.130	11.016	0.583	0.068
8.140	11.078	0.583	0.068
8.150	11.128	0.582	0.069
8.160	11.162	0.582	0.069
8.170	11.177	0.581	0.070
8.180	11.172	0.581	0.070
8.190	11.147	0.580	0.071
8.200	11.106	0.580	0.071
8.210	11.052	0.580	0.072
8.220	10.988	0.579	0.073
8.230	10.922	0.579	0.074
8.240	10.857	0.578	0.074
8.250	10.799	0.578	0.075
8.260	10.751	0.577	0.076
8.270	10.716	0.576	0.077
8.280	10.693	0.576	0.079
8.290	10.683	0.575	0.080
8.300	10.683	0.574	0.081
8.310	10.691	0.574	0.082
8.320	10.701	0.573	0.084
8.330	10.712	0.572	0.085
8.340	10.718	0.571	0.087
8.350	10.718	0.570	0.088
8.360	10.710	0.569	0.090
8.370	10.694	0.568	0.092
8.380	10.670	0.566	0.093
8.390	10.640	0.565	0.095
8.400	10.606	0.564	0.097
8.410	10.573	0.563	0.099
8.420	10.542	0.561	0.101
8.430	10.516	0.560	0.103
8.440	10.498	0.559	0.105
8.450	10.488	0.557	0.107
8.460	10.487	0.556	0.109
8.470	10.494	0.554	0.111
8.480	10.508	0.552	0.114
8.490	10.527	0.551	0.116
8.500	10.548	0.549	0.118
8.510	10.571	0.547	0.121
8.520	10.593	0.546	0.123
8.530	10.613	0.544	0.126
8.540	10.631	0.542	0.128
8.550	10.647	0.540	0.131
8.560	10.661	0.539	0.133
8.570	10.675	0.537	0.136
8.580	10.689	0.535	0.139
8.590	10.704	0.533	0.142
8.600	10.722	0.532	0.144
8.610	10.743	0.530	0.147
8.620	10.766	0.528	0.150
8.630	10.790	0.527	0.153
8.640	10.814	0.525	0.156
8.650	10.836	0.524	0.159
8.660	10.856	0.522	0.162
8.670	10.871	0.521	0.165
8.680	10.880	0.519	0.168
8.690	10.883	0.518	0.171
8.700	10.880	0.517	0.174
8.710	10.872	0.516	0.177
